id,create_time,merge_time,hours_time_difference
1790026554,2024-03-25 18:35:58+00:00,2024-04-03 00:37:56+00:00,198.03277777777777
1790503954,2024-03-26 00:06:37+00:00,2024-04-02 20:20:12+00:00,188.2263888888889
1784064147,2024-03-21 09:59:50+00:00,2024-04-02 15:17:17+00:00,293.29083333333335
1800003847,2024-04-01 07:47:09+00:00,2024-04-01 22:37:40+00:00,14.841944444444444
1801006096,2024-04-01 18:44:06+00:00,2024-04-01 21:10:12+00:00,2.435
1799152216,2024-03-31 02:03:24+00:00,2024-04-01 02:32:45+00:00,24.489166666666666
1799447584,2024-03-31 17:35:16+00:00,2024-03-31 19:28:20+00:00,1.8844444444444444
1796957018,2024-03-28 21:40:32+00:00,2024-03-29 20:59:58+00:00,23.323888888888888
1798442441,2024-03-29 19:03:42+00:00,2024-03-29 19:38:30+00:00,0.58
1798304222,2024-03-29 17:11:06+00:00,2024-03-29 18:28:08+00:00,1.2838888888888889
1786988619,2024-03-22 17:12:31+00:00,2024-03-29 17:28:55+00:00,168.27333333333334
1787316658,2024-03-22 20:56:16+00:00,2024-03-29 16:14:26+00:00,163.30277777777778
1798173946,2024-03-29 15:31:04+00:00,2024-03-29 16:00:29+00:00,0.49027777777777776
1793552549,2024-03-27 09:56:54+00:00,2024-03-29 15:51:54+00:00,53.916666666666664
1795660967,2024-03-28 09:42:34+00:00,2024-03-29 14:44:03+00:00,29.024722222222223
1779979422,2024-03-19 14:05:30+00:00,2024-03-26 22:34:59+00:00,176.49138888888888
1792184079,2024-03-26 17:08:00+00:00,2024-03-26 19:20:43+00:00,2.2119444444444443
1792184226,2024-03-26 17:08:05+00:00,2024-03-26 19:19:22+00:00,2.1880555555555556
1789939228,2024-03-25 17:40:38+00:00,2024-03-25 18:49:10+00:00,1.1422222222222222
1786591039,2024-03-22 13:33:58+00:00,2024-03-25 14:11:25+00:00,72.62416666666667
1788498598,2024-03-25 01:53:20+00:00,2024-03-25 08:48:21+00:00,6.916944444444445
1788450779,2024-03-25 01:05:34+00:00,2024-03-25 05:45:40+00:00,4.668333333333333
1788124839,2024-03-24 09:57:44+00:00,2024-03-24 11:22:43+00:00,1.416388888888889
1777302999,2024-03-18 12:40:46+00:00,2024-03-23 17:42:37+00:00,125.03083333333333
1787504191,2024-03-22 23:49:17+00:00,2024-03-23 01:38:04+00:00,1.8130555555555556
1786968672,2024-03-22 16:58:56+00:00,2024-03-22 18:32:06+00:00,1.5527777777777778
1785390461,2024-03-21 20:56:30+00:00,2024-03-22 08:52:02+00:00,11.925555555555556
1784755636,2024-03-21 15:17:50+00:00,2024-03-21 16:01:25+00:00,0.7263888888888889
1782662968,2024-03-20 17:41:24+00:00,2024-03-20 20:30:49+00:00,2.823611111111111
1782261650,2024-03-20 14:38:43+00:00,2024-03-20 19:31:08+00:00,4.873611111111111
1782096194,2024-03-20 13:21:42+00:00,2024-03-20 15:48:05+00:00,2.439722222222222
1779550907,2024-03-19 10:36:31+00:00,2024-03-20 06:51:46+00:00,20.254166666666666
1780406918,2024-03-19 17:22:35+00:00,2024-03-19 18:48:56+00:00,1.4391666666666667
1778299012,2024-03-18 20:16:31+00:00,2024-03-18 21:26:59+00:00,1.1744444444444444
1778079752,2024-03-18 18:29:23+00:00,2024-03-18 19:59:29+00:00,1.5016666666666667
1777626053,2024-03-18 14:59:40+00:00,2024-03-18 16:57:27+00:00,1.9630555555555556
1777658398,2024-03-18 15:14:31+00:00,2024-03-18 16:25:08+00:00,1.1769444444444443
1777402742,2024-03-18 13:30:12+00:00,2024-03-18 15:40:06+00:00,2.165
1773793088,2024-03-15 10:00:06+00:00,2024-03-15 15:07:57+00:00,5.130833333333333
1772862119,2024-03-14 19:15:54+00:00,2024-03-15 07:35:57+00:00,12.334166666666667
1772834905,2024-03-14 18:55:11+00:00,2024-03-15 07:27:33+00:00,12.539444444444445
1772805305,2024-03-14 18:42:08+00:00,2024-03-15 06:55:37+00:00,12.224722222222223
1768868770,2024-03-12 20:41:00+00:00,2024-03-14 16:45:05+00:00,44.06805555555555
1770837433,2024-03-13 20:25:33+00:00,2024-03-14 16:44:19+00:00,20.31277777777778
1766792821,2024-03-11 21:57:37+00:00,2024-03-14 14:09:01+00:00,64.19
1764061445,2024-03-09 14:40:04+00:00,2024-03-13 21:02:22+00:00,102.37166666666667
1769911703,2024-03-13 11:47:44+00:00,2024-03-13 16:58:46+00:00,5.183888888888889
1768635056,2024-03-12 18:14:16+00:00,2024-03-13 16:54:11+00:00,22.665277777777778
1769577349,2024-03-13 08:48:28+00:00,2024-03-13 10:39:07+00:00,1.8441666666666667
1752394996,2024-03-01 21:03:51+00:00,2024-03-13 09:44:16+00:00,276.6736111111111
1768745623,2024-03-12 19:14:45+00:00,2024-03-13 09:20:52+00:00,14.101944444444445
1769520687,2024-03-13 08:12:35+00:00,2024-03-13 09:17:22+00:00,1.0797222222222222
1768567065,2024-03-12 17:41:54+00:00,2024-03-12 22:47:58+00:00,5.101111111111111
1768855052,2024-03-12 20:31:14+00:00,2024-03-12 22:41:20+00:00,2.1683333333333334
1768802825,2024-03-12 19:53:55+00:00,2024-03-12 20:01:28+00:00,0.12583333333333332
1751530080,2024-03-01 11:39:16+00:00,2024-03-12 17:57:49+00:00,270.30916666666667
1767654463,2024-03-12 10:50:11+00:00,2024-03-12 17:36:08+00:00,6.765833333333333
1764060591,2024-03-09 14:37:00+00:00,2024-03-11 20:47:49+00:00,54.180277777777775
1766066680,2024-03-11 16:18:56+00:00,2024-03-11 16:54:57+00:00,0.6002777777777778
1765040302,2024-03-11 07:26:06+00:00,2024-03-11 15:38:41+00:00,8.209722222222222
1764934004,2024-03-11 05:54:59+00:00,2024-03-11 08:01:35+00:00,2.11
1764606677,2024-03-10 21:43:25+00:00,2024-03-11 04:57:32+00:00,7.235277777777778
1764250312,2024-03-10 01:38:15+00:00,2024-03-10 22:31:56+00:00,20.89472222222222
1762630586,2024-03-08 09:33:15+00:00,2024-03-10 15:41:30+00:00,54.1375
1763628172,2024-03-08 20:54:05+00:00,2024-03-09 16:33:10+00:00,19.65138888888889
1763917413,2024-03-09 06:33:43+00:00,2024-03-09 13:54:14+00:00,7.341944444444445
1763842700,2024-03-09 01:19:48+00:00,2024-03-09 06:03:31+00:00,4.728611111111111
1763516097,2024-03-08 19:13:26+00:00,2024-03-08 20:23:35+00:00,1.1691666666666667
1756586549,2024-03-05 11:04:01+00:00,2024-03-08 14:56:31+00:00,75.875
1762685307,2024-03-08 10:09:56+00:00,2024-03-08 10:14:14+00:00,0.07166666666666667
